reviewerID	asin	overall	label	reviewTime	reviewText
13096	63	5.0	-1	2013-02-14	Mmm, mmm, mm!  Do you love pizza?!  I totally do!  Want a recommendation?!  Go to Joe's!  You're gonna LOVE it!  Joe's Pizza is SO mouth-watering!  And the pizza can probably give your taste buds a new BFF.  Trust me, because I must have been there about a million, hundred, and eight times.  And now you'll totally see why the food is so fantastical!   The first reason you should, no matter what, try Joe's is because of the AMAZING fluffy, ooey, gooey cheese!  One bite of that warm gooey cheese you will most likely die just to get more! Another amazingly, perfect, mouth-watering reason to get a slice of Joe's is (of course) because of the delicious, nutritious basil sprinkled all over the delicious, ooey, gooey cheese.  Its like heaven just to chomp on that mouth-watering basil! The tasty, perfect, delicious, marvelous last reason I'm recommending Joe's is because of their tasty, rich, sweet, creamy, fruity italian ice.  Plus its right in the fruit's perfect shell!  For instance, say you get a zesty lemon italian ice.  It wouldn't be in a boring old bowl.  It would be in a lemon shell!  How cool is that?! After all the explaining, I hope you can see why their pizza and italian ice is so good.  I hope your next visit to pizza will be Joe's!  (Because it will BLOW your noodle!)
13097	63	5.0	-1	2012-06-18	BEST PIZZA IN NEW JERSEY! Variations of different pizzas and delicious gourmet pastas and so much more. It's all about the sauce and the fresh picked herbs. Try the Brooklyn slice, yummy! I'm from Italy so I'm very picky with Italian foods. Antoinette
13098	63	5.0	-1	2011-11-03	OMG the Brooklyn Pie is out of this world!!  Thank you Thank you!!
13099	63	2.0	1	2014-09-28	The workers are so rude. They even charged me for plastic plates. They take forever to bring out the food that only tastes mediocre for its price.
13100	63	3.0	1	2014-06-13	Pizza here is ok, nothing to brag about.  Place is always crowded so their business is good.  Ordered a Turkey Hoagie to go and was very disappointed.  I should have checked it before I left and I would have asked for my money back for sure.  They placed only a couple of very thinly sliced pieces of that cheap processed turkey and piled the rest of it with tomatos, onions, and a ton of lettuce.  The sandwich appeared big but they skimp on the meat.  And the sandwich was expensive.  If you go to Krauser's or even Wa Wa, they build a big sandwich with plenty of meat, especially Krauser's and they charge much less for a better sandwich.  Very disappointing!
13101	63	5.0	1	2014-05-29	I had one of the tastiest cheese pie right here at this joint. I still can't forget the taste. I will go back and enjoy one more time then write more.
13102	63	3.0	1	2014-05-21	The food here is very good but the service is horrible.  Have eaten here on 3 occasions and all 3 times had to wait more than 45 minutes for our food.  The last time we waited an hour for our dinner.  Will not return until service improves which is a shame because the food is good.
13103	63	2.0	1	2014-04-29	Here's the deal...they have the pizza down...very good.  Some of the Italian dishes are very good as well.  The service, is very poor.  (VERY poor).  If you call for take out given time for pickup, add an hour.  Seriously, add an hour.  You will be standing with no less than 19 people waiting for your take out, for about an hour past the time you were told it would be ready (Friday and Saturday nights).  It's not a one time experience.  The most recent one, waited the hour extra with boxes of food on counter in front of me.  Told them my number, then asked my number again, told order wasn't ready.  Asked my number again, I looked over box and told them again...said almost.  Asked my number again...moved box to tell them...said soon.  After an hour of waiting...turned out the  box I was staring over and moving to see, in a row of other boxes, was my order.  There are other poor experiences.  Point is, they have issues managing orders...NOT cooking the food. Sometimes the taste of the food isn't worth the stress and that's often the decision why we decide to go elsewhere, because they can't nail the service.  Given the large customer base who do not mind waiting so looong, they probably don't even see reason to improve.
10982	63	4.0	1	2014-04-04	Great Pizza! Buffalo Chicken Pizza is to die for!
13104	63	3.0	1	2013-12-27	Been driving by this place for 13 years, figured is try a pie and a salad. it was about 5:30 and a couple of patrons were eating dinner early. I was early for the pie pickup, i like to hang around and get a vibe on a place anyway.  The place has a homey country store feel, Italian items on the shelves. The pizza is good, and what is unique about their pizza is the aromatic oregano on the pie. Their rice balls were not that good and no sauce was provided in my take order for them. Normally rice balls are served with sauce.
13105	63	1.0	1	2013-10-11	Food is usually good. Service sucks. Waited in restaurant at table for a half hour for cheese pizza and was told they lost the ticket but would start then. We left.
10401	63	5.0	1	2013-07-24	A hidden gem! Very courteous staff with awesome Italian food. Definitely would come again.
13106	63	5.0	1	2013-05-04	Excellent as usual. Calamari and Brooklyn pizza are great. Beautiful new updates of the restaurant. It looks more a restaurant than just a pizzeria but everything comes at a price. I heard prices will go up but you pay for quality.
13107	63	2.0	1	2013-02-25	went there with a party of 5 friday night.  it was pretty crowded and we were told it would be a 20 min wait.  an hour later we were seated.   fifteen minutes after that we were given menus.   about ten min later someone came to take our order. when the food finally came out.  one of the dishes was wrong.  the did correct it pretty quickly.  then then menu said 3 of the orders came with dessert which we were only given after asking about it.  Doubt ill go back.  alfonsos in somerville or lorenzos were much better
13108	63	5.0	1	2013-01-23	There are lots of pizza places in Hillsborough and we drive past many of them to get pizza from Joes.  I grew up in NJ so am very picky about my pizza. One downside is that I'm not a big fan of their hot subs but definitely worthwhile for the pizza.
13109	63	3.0	1	2012-12-29	I'd give this place 4 stars for it's food: especially the sandwiches and panini's it makes, however I can't get over the abrupt service (take out or eat in). I've eaten here probably 6 times either take-out or eat in and it's the same every time. The pizza is just okay, it's not marvelous, the sandwiches are interesting and very good. Likes - The sandwiches - The pizza (at a stretch) Disklikes - The service - The price - its way overpriced for what it is.
13110	63	4.0	1	2012-12-17	Very solid pizza/italian joint. It's obviously the best in the area based on the crowds, and for some reason my mother and step father think the 'Brooklyn Pizza' is the best invention since the bagel guillotine. The Brooklyn Pizza IS pretty good (I guess they make pizza thin, cut it into squares, and use less mozzarella and more parmesan cheese in Brooklyn?). And the rest of the pizzas with the lone exception of chicken as a topping, which was pretty dry in my opinion (...but who orders chicken on a pizza anyway, right?) are very good. I've had pastas/heros/calzones here that were all solid, too. Overall a strong 4 stars.
13111	63	5.0	1	2012-12-14	Great pizza. Love a simple plain cheese pizza eaten fresh at the restaurant. Best in the area.
13112	63	4.0	1	2012-09-02	Great comfort Italian food. I've only had the pizza and the calzones - and both were excellent. Price is reasonable, casual dining, and staff is very friendly. Wish they would offer a spinach and pepperoni calzone - but I'm sure if I asked, they would make it. Just moved to NJ from RI and we just spotted it one day driving around and have been back twice. I'm hooked. Can't wait to try the pasta - it looks fantastic!
13113	63	5.0	1	2012-06-25	Great pizza. Quite literally some of the best pizza I've ever had in all my life. the buffalo chicken pizza is incredible, big juicy piece of buffalo chicken' in creamy buffalo ranch sauce. The original pepperoni is incredible . The full flavor leaves you satisfied after just 1 slice, but Joe's will have you coming back for more in no time.
13114	63	4.0	1	2012-04-15	Best pizza in the area.  We've tried many other places but keep going back to Joe's.  In addition to pizza, we've tried the calzone, stromboli, hot subs and cold subs.  No complaints.  The place is usually hopping on the weekends and they have occasionally given our takeout order to someone else so check your food before heading out the door!  If you're in the area and have a hankering for pizza, go to Joe's.
13115	63	4.0	1	2011-11-04	Pretty amazing Pizza. I had many of their pies when I lived in NJ. Definitely the best pizza I had while I was in NJ. They introduced me to the prosciutto, arugula and cheese Tuscan pizza- delicioso! All their pizza's are good. They have a great variety of traditional styles to newer, interesting pies like a chicken caesar salad pizza. Pasta and other foods were also very good. My daughter had pasta and ate it up right away without fuss (pretty incredible for my 18month old!)
13116	63	5.0	1	2011-07-29	"Excellent pizza and a lot of varieties. Also has wonderful dinners. The vodka sauce and spaghetti with meat balls are excellent. Nice atmosphere. I use to eat here all the time when I lived here. I've moved ti Minnesota but visit NJ once a year. When here I come back to NJ I always come here several times to get my ""fix"" of pizza. 8/5/12 update. Well I am back in NJ and ate here the first and second nights. The food is as good as ever if not even getting better. A very large selection of  of gourmet pizza already made that you can get a slice each of ( 2 slices is my unfortunate max though :) They also have a very large menu with excellent dinners. My wife gets the dinner I have to have pizza though. They renovated the place since the last time I was here and it is very cute and Italian Cafe looking. The staff and owner are very friendly. All talk to you with huge smile. I'd write more but I have to leave to go back for another slice."
13117	63	5.0	1	2011-07-24	"I can honestly say I've only had a ""bite"" of the pizza (which was good) -- but my review is based on the other food I've had - eggplant rollatini and a calzone on two separate occasions.  Both were very delicious.  For some good family pizza/italian food, this place is fantastic.  Really good food.  Atmosphere is nothing special, but the food is worth it.  Very good, will be going back often."
13118	63	3.0	1	2011-06-16	Good pizza, average garlic knots.  Pepperoni roll was alright, but cold.  Service was terrible, it felt like I was inconveniencing them by paying them $30 for lunch for two people.  One of those lunches was an $8 cheese steak.  I'm not sure how 2 slices of pizza, an order of garlic knots, a pepperoni roll and a soda comes to $20.
13119	63	5.0	1	2011-03-08	Best pizza in Hillsborough.  I had another favorite before this one but since trying Joe's, well, needless to say I have never gone anywhere else.  The thick Marguerita pizza is amazingly good, the chicken scampi dish to die for!  I go in and get it weekly.  This place is a must try!
13120	63	4.0	1	2011-01-15	Incredible variety and plenty to choose from.  My personal favorite would have to be their brooklyn style pizza.  All of their pizza is great though.  Great appetizers and service.  Not pricey at all(Except for some specialty pizzas) However, I would NOT recommend placing an order for delivery.  It can take up to over an hour for delivery from this place. Besides the delivery, well worth the price.
13121	63	4.0	1	2009-01-11	"Increible! I just moved to NJ and I'm an instant fan of this place. I wish that italian food, specifically pizza like this was the norm rather than the exception. The pizza here is great in every respect, many of their specialty pizzas are like entrees on crust eg chicken marsala pizza or steak and cheese pizza. I like the atmosphere in the place- it falls somewhere between pizza joint and formal restaurant. Its find your own table, but they serve you.. good stuff I must mention though, that they do not get 5 stars due to a recent experience in which it took an hour from call to payment to get a pizza. for most of that time I was told by the guy behind the counter ""2 more minutes buddy"". Sorry Joes- otherwise you're top notch"
13122	63	4.0	1	2008-02-16	Joe's Pizza is our familie's pizza of choice. It is hugely popular with the locals and pretty much packed over the weekend. You can read a more complete review on my blog.
13123	64	2.0	-1	2014-09-09	I had the capri sadwich.  Mozzarella, tomato, and basil.  For a little over $9 including tax, it wasn't worth it. In Philly, you can get a lot of great sandwiches for $9, and this wasn't one of them. The portion was small. three slices of tomato, three slices of mozz, and three basil leaves.  At the height of the basil and tomato season, this is unacceptable.  And, everything was too cold.  This sandwich is a room temperature sandwich, not a cold sandwich.  Finally, the roast pepper spread overwhelmed the tomato, basil, and mozzarella. Very disappointed.   I saw folks getting a meat based sandwiches, piled high with meat and, as a vegetarian, I can't justify paying the same price for a sandwich, if I am getting half of the food. Oh well, I will not return.
13124	64	5.0	-1	2015-01-03	It's refreshing to be able to go to a sandwich shop free from the corporate feel of a Subway or Au Bon Pain. The sandwich that I ate, the Italian Stallion, was incredible. The size of the sandwich was perfect at just over 9 inches. The bread was fresh. Their homemade spicy mayo sauce that they had was such a great compliment, and the meat itself was fresh and tasted as it would in an Italian Trattoria in Rome. Outside of how delicious the sandwich was, I was pleasantly surprised by how affordable it was. The shop was clean, the tables were original and the staff were very nice.  You could really tell that everyone there was invested in the happiness of the customers and the success of the establishment, unlike corporate sandwich shops I know. I hope Matt & Marie's franchises in New York!
13125	64	5.0	-1	2014-12-30	I'm from NY and have very high standards for sandwiches.  I visit Philly regularly for work and literally go out of my way each time to get a sandwich from Matt & Marie's - it's THAT good!!  Great sandwiches are hard to come by, but they really hit the nail on the head.  I've only been 4-5 times so far, so I still haven't had a chance to try all of their different types of sandwiches, but so far none have disappointed.  Most recently I had the ham sandwich with their home-made mozzarella.  Scrumptious!!!!
13126	64	5.0	-1	2014-09-22	Thank you Matt & Marie for OUTSTANDING FOOD and SERVICE. We are exciting to have your business in ourarea. The food is fresh and always delivered on time. Your staff's desire to meet the customers needs is very refreshing. We look forward to our next lunch with you. Renee
13127	64	5.0	-1	2014-09-02	Great lunch spot. My personal favorite is their turkey sandwich...it's pretty ballet. Matt and Marie both work at the store, so definitely worth stopping by (if you like to support small businesses). Good vegetarian options ( if you're into that sort of thing) and nice, clean space to sit and eat (with some pretty cool looking tables). New spot that definitely had some love to into its conception and construction.
13128	64	5.0	-1	2014-07-07	Today myself and 2 of my friends went to Matt & Marie's for lunch.  The 3 sandwiches we ordered to share around was the Pastrami,  Capri, and Italian Stallion.  I cant say i favored one over the other because they were all equally excellent.  If you ordered any of these 3 you would be extremely happy.  A mere one bite into each sandwich allows you to taste the highest quality of ingredients along with a super fresh taste.  Its nice when a sandwich reflects all the love and care put it into it!
13129	64	5.0	-1	2014-07-02	Today I tried the Italian Stallion and the Uncle Gaetano.  Both were outstanding!!!   The Gaetano had a great balance of roasted turkey, pancetta, and garlic aioli.  The Italian Stallion is my favorite and is a must.  They had a perfect blend of fennel and genoa salami, topped with provolone cheese and pickled peppers, garnished with pepperoncini aioli.   The delicious taste truly reflects their care and high quality! Excellent!!!
13130	64	5.0	-1	2013-10-02	I was lucky enough to have lots of  Matt & Marie's during their menu-testing phase in New York this summer. The pastrami with pickles and aioil is TO DIE FOR. I cleaned a whole dish of it myself. And the homemade mozzarella was a dream. I can't wait to visit their Philly location!
13131	64	5.0	-1	2013-10-02	Had the privilege of eating these delicious sandwiches at a menu tasting in NYC and what a treat it was. From the carefully selected breads to the terrific combination of meats and other toppings it was pure perfection all around. My favorite was the broccoli rabe with goat cheese, and not being a lover of broccoli rabe, you know there was something special about it if now I crave it all the time. Would highly recommend to anyone I know. !!
13132	64	5.0	1	2015-01-10	I love this place!! Best sandwiches ever! I ordered the Italian stallion, which was amazing, and my husband got the Ducati Dealer, which is a aandwich like no other, and they were kind enough to fix my son a grilled cheese sandwich with tomatoes, which he loved. Everything came with a free side. Prices are very reasonable, decor is upscale and inviting, staff is friendly and accommodating, sandwiches are among the best I've ever had. Love supporting local business and budding entrepreneurs! Keep up the good work!
13133	64	5.0	1	2015-01-09	I just tried the Italian Stallion for the first time. It was incredible. The size of that sandwich was perfect, the bread is incredible (after all, how can you make a good sandwich with bad bread). I opted for oil and no mayo. The meat was of top quality and really delicious. I would highly recommend and encourage all to try a sandwich.
13134	64	5.0	1	2015-01-08	I absolutely LOVE Matt & Marie's. I've gone three times and each time it gets better. I have to say my favorite has been the meatball sandwich special. Bring back the meatballs. They were delicious and I can't wait to have them again.
13135	64	5.0	1	2015-01-07	Matt and Marie's is a great place to grab a bite to eat.  The first time I visited, I wasn't in the mood for a sandwich and ordered the Tuscan Bruschetta Salad. The salad was delicious and  big enough to serve as two meals.  The second time I visited, I ordered the Pieta Pastrami Sandwich, and I was happy to find that it was equally delicious.  I highly recommend Matt and Marie's to anyone looking for a good sandwich and salad.
13136	64	5.0	1	2015-01-06	Awesome sandwiches served quick and friendly.   Great fresh bread and ingredients.   Italian Stallion is my favorite
13137	64	1.0	1	2015-01-02	第一次来费城，看到评价很高就来了，结果。。。。发自内心的说一句，特别特别不适合中国人的口味，千万别来­吃啊！！！！面包硬的挑战你的口腔，各种奇怪的意式酱真的。。。总之，同行的朋友都没怎么吃！不过估计外国­人特别享受吧，他们应该很喜欢！
13138	64	1.0	1	2014-12-31	I just got swindled. No indication if they were open tonight and got charged for an order. Thinking about filing a police report for fraud. Stay away.
13139	64	5.0	1	2014-12-30	Love Matt & Maries and I have to say the American - Italian Hoagie is my favorite. Perfect combination of meats and it's a great value at $6.25. Super cute sandwich shop and I'm thrilled they are in the neighborhood. Look forward to trying some of the other sandwiches soon.
13140	64	4.0	1	2014-12-17	Just went there for a lunch date with my boyfriend and we both left very satisfied.  I got the falafel italiano and he got the italian stallion and the chicken noodle soup.  They offered sharp provolone in the soup, which was genius and delicious!  The owner was very friendly when she rang us up and she even took the time to walk around the eating area to see if everyone was enjoying their food.   I would definitely recommend and I will be going back!
13141	64	4.0	1	2014-12-11	This is a review update - but very strange that it appears my old review was removed. I'm happy to write a new review, but disappointed to see that the original one was taken down without any notice. Anyhow - When I first wrote about Matt & Marie's, I gave them 3 stars. At the time, there were only a few signature sandwiches available. I had found the bread to meat/toppings ratio to be too high, and the price point was pretty steep for a sandwich. ($9-$10 after tax.) Since then, I've had a few more sandwiches in my belly, and have been tempted to try their salads and soups. The new menu items offer good variety and can be ordered as a combo for a more reasonable price point for a Center City lunch. (Think options under $8.) Flavors are good, and the bread is really enjoyable. It makes the sandwich. Location is very clean, and service is friendly.
13142	64	3.0	1	2014-12-10	"So this place is in my office building, and I have to say that it is hit or miss. Yesterday I got the American Value Hoagie, and I was quite impressed for $6.25. The sandwich was large enough that I only ate half and have the other half for today's lunch. It was packed with ham, salami, capicola, lettuce, tomato, and onion. It was very tasty. The miss, however, is my coworker's meatball sandwich for $8.50. This is a this-week-only special, featuring housemade meatballs and sauce and mild provolone cheese on a roll. The problem with this sandwich is that the meatballs were tiny, more like Swedish meatball size, and the roll was enormous. He said the meatballs were, ""small, dry, and flavorless,"" and the sauce was ""mediocre."" He says, ""These balls were not touched by the hands of anyone who knows Italian cuisine."" The roll, however, was good. Previously, I had tried to get their hot roast beef sandwich while it was a special (before it was added to the regular menu), but they were already out of it at 12:30. The week before Thanksgiving, I got their Thanksgiving hoagie, with turkey, housemade sausage stuffing, and cranberries, which was very tasty. The issue with that, however, was that they seemed flummoxed by my request to have mayo on the roll as well, and it took a good 5 minutes to make. The place was empty, so it shouldn't have taken that long. Overall, this place is ok. They definitely need to work on their consistency, because when they are good, they're really good, but when they're bad, it's really bad. I would suggest focusing on making a product that is good every single time before expanding to other locations. There aren't many places for lunch if you work in Logan Square, so they could make a killing if they just concentrate."
13143	64	4.0	1	2014-12-09	For how much I didn't like the Roman Cavalry. the Pieta Pastrami I had today was amazing, the house made pickles and onions offered a nice balance. 2/3 isn't bad and I bought their Groupon so I will definitely be back for many more.
13144	64	5.0	1	2014-12-08	My friend and I stopped in today on a day trip to Philly.  We were greeted by a very friendly staff and we both ordered the special today which was a meatball sub.  It was amazing we could tell everything was made fresh and the potato salad was delicious as well.  Highly recommend to anyone looking for friendly quick affordable and delicious food
13145	64	5.0	1	2014-12-05	Amazing breakfast sandwiches and a great option for vegetarians! I go there as often as I can, and can't wait to hit it up again soonb:)
13146	64	4.0	1	2014-11-24	I was searching yelp today for lunch slots near my new office. I had planned to go elsewhere when the listing for this place caught my eye. I prefer hot lunch and this place seemed to only have cold sammies but the ones in the menu looked damn good so I called the audible and went here. I had planned to order some cavalry Sammie but went in and saw special with some kind of grilled chucked, fresh mozzarella and balsamic. Nuff said. The sandwhich was awesome and bursting with freshness. As a bonus they offered me a free skewer with melon and the best cured ham I have had in years. I will ask them about it next time and get it in a Sammie.
13147	64	5.0	1	2014-11-23	If you love a good sandwich then you will not be disappointed with this place. They're all about the proper rolls and fresh ingredients. The unique Ducati Dealer keeps me coming back. The owners are extremely friendly and you can tell they have a real passion for it.
13148	64	5.0	1	2014-11-21	Excellent food, clean dining area, and great customer service. Had a really nice simple dinner with my family. Matt helped make sure each of my four kids was happy! Very fast service too!
6784	64	4.0	1	2014-11-13	I am happy to see that another independently owned business has popped up in the neighborhood.  This married couple brings an inventive option to the Comcast-set and to Logan circle!  Thank goodness as it is nice to have an option that is not underneath the comcast tower and that is not a 7-11 or an Au Ban Pain.  The few times that I have been here the food has been delicious and the staff has been accommodating and friendly! I hope that this business is successful and will continue to frequent it when I have the opportunity.
13149	64	4.0	1	2014-11-11	I think you will struggle to find a sandwich place that will top this one, they have super fresh ingredients, their bread is legit, they have a good selection of toppings, and their staff is pretty awesome. We did the caprese, the hot pastrami, and the roast beef special. All were awesome and the prices were extremely reasonable especially for the roast beef and pastrami, they were huge. I will definitely be making the trek back here soon, I just wish they had one in Fishtown!
13150	64	5.0	1	2014-10-31	I had a yummy Italian sandwich at M&Ms. Philly is the city of hoagies and cheesesteaks, but Matt & Maries definitively shift the scene with their delicious Italian sandwiches. I had a eggplant mozza chicken combo and it was delicious. I also appreciated the free treat (it was Halloween week). The atmosphere was chill with not too loud music and warming colors. Finally, being greeted with a large smile is always a plus. Will definitively come back for more!
13151	64	5.0	1	2014-10-31	So went to Matt and Marie's for the first time today at a recommendation by a friend. Totally worth the time and parking cost. I was torn between the Nana's Tuna sandwich and the Peita Pastrami. Ended up going with the Peita Pastrami and didn't regret it. Potentially the best pastrami sandwich I've ever had. Sat down and ate it in house on the large table. Friendly staff. Also got the Capri sandwich for my wife.  If you're in the area and need something quickly, this is the place to go.
13152	64	4.0	1	2014-10-29	Oh the delicious artisan sandwiches! I've had the pleasure of dining at Matt and Marie's a few times now for lunch.  All of the sandwiches are pretty stellar with perfectly matched flavors.  You can tell they really put thought into creating the menu. But even so, I always seem to come back to my favorite, the Roman Calvary.  The coppa ham, mozzarella, the arugula, I just love all of the ingredients together.  And even better, the price is now $1 less.  The sandwiches also now come with free pasta salad, which was a bit heavy and rich for me but good to round out your lunch meal.
11527	64	5.0	1	2014-10-24	My favorite place to come for breakfast, lunch or light dinner. Awesome place, delicious sandwiches and terrific staff! Love it here!
7855	64	5.0	1	2014-10-22	"Lunch was so good here that I came back for dinner on the same day. It was the Verdura Double sandwich (Broccoli Rabe, goat cheese, garlic...) that made me wonder, ""are all their sandwiches this terrific?"" The answer to that question appears to be yes, judging by the Turkey and Cranberry Sauce sandwich I enjoyed later that evening. Marie, the owner, was kind enough to serve me this sandwich warmed up in the oven. She was as enthusiastic about making food as I was about eating her food. Thanks Marie for keeping me well-fed that day. And to the rest of you out there -- after enjoying a great lunch here, don't be too shy to come back for dinner."
13153	64	2.0	1	2014-10-22	Not sure how this place has a 4.5 star review. It was empty at lunch time -- a very awkward dining experience. Took them 5 minutes to find a plastic knife for my salad. Definitely nothing special about this place. I'd give them 3-6 months, depending on how deep daddy's checkbook is / how long the inheritance lasts before it runs out.
13154	64	5.0	1	2014-10-20	My coworkers and I stopped in for a quick lunch. I got the weekly special which was the Rosa; fresh mozzarella, tomatoes, housemade roasted peppers, and balsamic vinegar on fresh bread. I loved it. We all enjoyed our meals. I am planning to return to try some of their other sandwiches.
13155	64	3.0	1	2014-10-15	I guess I got the wrong thing. The chicken special was ok, but about 60% bread.  If I go back I'll stick to their recommendation of the Italian stallion or turkey.
13156	64	5.0	1	2014-10-09	We stumbled across this place using Yelp and were more than satisfied with our choice. These sandwiches are the best we have ever had! The turkey sandwich creation was one of the best mixes of flavors in each and every bite! I highly recommend!
13157	64	4.0	1	2014-10-06	The sandwiches here are great, I want to come back and try them all! Stopped by for lunch with coworkers and everyone loved it. The staff is also really friendly and welcoming - we will be back!
13158	64	5.0	1	2014-09-25	Great Italian bistro feel to this gem of a sandwich shop. Marie is a wonderful host with helpful hints as you peruse a tantalizing menu of favors she can put on a roll. A great place for lunch!
13159	64	4.0	1	2014-09-12	Came in for a sandwich for dinner. I ordered the Ducati (hot Italian sausage with carrots and stuff...I wish I remembered what the menu called it!). When I paid, I thought that 9.18 (8.50 plus tax) was a bit much for the 10-ish inch sandwich I was being handed...nonetheless, I took it and went outside to a nearby bench to eat and people-watch. The bread, fresh-baked by their baker, was delicious. The sausage was perfectly spicy. And the carrots and stuff added an interesting crunch as well as allayed some of the heat. Given that it's a small business (instead of neighboring cafe bohemoth Au Bon Pan) and they use fresh, quality ingredients, the price is worth it, I think!
